#,Title,Alert Type,Status,Start,End,Latitude,Longitude,Source,Description,ID
22,🚨⚠️🚫 Plazas de Cobro cerradas por situación de riesgo.,safety,PAST,2026-02-22 23:20,2026-02-23 05:00,26.31200635,-98.84188019,C3ntro,"Plaza de cobro cerrada debido a incidencias presentadas durante el día:

Puente San Juan, Tamaulipas.",ae7e997a-ba1c-4198-87b4-f82a727c9f7c
23, 🚨⚠️🚫 Plazas de Cobro cerradas por situación de riesgo.,safety,PAST,2026-02-22 23:21,2026-02-23 05:00,21.2294933,-104.8874347,C3ntro,"Plaza de cobro cerrada debido a incidencias presentadas durante el día:

Compostela, Nayarit.",537f2e50-2e0b-4630-9835-230d9494c391
24,🚨⚠️🚫 Plazas de Cobro cerradas por situación de riesgo.,safety,PAST,2026-02-22 23:22,2026-02-23 05:00,21.4904219,-101.7633247,C3ntro,"Plaza de cobro cerrada debido a incidencias presentadas durante el día:

Lagos de Moreno, San Luis Potosí.",39e3f8a2-ddc7-4183-a7ae-048f10637c00
25,🚧🦺👷 Alerta preventiva por labores de mantenimiento en Blvd. Ávila Camacho,vial,ACTIVE,2026-01-05 12:35,2026-04-21 05:30,19.45446323,-99.21999317,C3ntro,"Día: 05 de Enero hasta 30 de Abril 
Tramo: Blvd. Manuel Ávila Camacho, entre Av. Río San Joaquín y Calle Lic. Rafael Reyes Espíndola. 
Cierre de circulación en sentido de Toreo - Tepotzotlán. 

#AVPV",87e1a8a0-ae2e-424f-94a6-08328562b166
26,🚨⚠️🔫 Situación de riesgo en NUEVO LEÓN,safety,PAST,2026-02-22 19:54,2026-02-23 05:55,24.89699158,-99.41693163,C3ntro,"Se reporta un bloqueo en el Sur de Nuevo León, en la carretera a Cerro Prieto, a la altura de Cascajoso, Linares. #NAB",c860b943-6e48-4e72-abf4-24a1713841be
27,🚨⚠️🔫 Situación de riesgo en en San Martin Texmelucan,safety,PAST,2026-02-22 17:26,2026-02-23 00:00,19.34666483,-98.60091704,C3ntro,"A la altura de La Cantera, situación de riesgo (narcobloqueo con quema de unidades).

*Ubicación de referencia

#NAB",25eaf4dd-9fe2-4865-a859-9cce719eb546
28,"🚨⚠️🔫 Situación de riesgo en Crucero Bellavista, Jalisco ",safety,PAST,2026-02-22 15:09,2026-02-23 00:00,20.41658365,-103.6264873,C3ntro,"Crucero Bellavista, cierre de circulación debido a situación de riesgo (presunto narcobloqueo con quema de unidades)


#NAB",e372700f-9f90-466f-9273-b6dbc3317d54
29,"🚨⚠️🔫 Situación de riesgo en la carr. México - Querétaro, Querétaro",safety,PAST,2026-02-22 20:07,2026-02-23 05:00,20.41140798,-100.0385901,C3ntro,Quema de tractocamión situación de riesgo por presuntos (narcobloqueos con quema de unidades). #NAB,12d308c6-09d1-437c-a4d1-0150910b7544
30,🚨⚠️🚫 Plazas de Cobro cerradas por situación de riesgo.,safety,PAST,2026-02-22 23:24,2026-02-23 02:00,20.2960578,-99.9290563,C3ntro,"Plaza de cobro cerrada debido a incidencias presentadas durante el día:

Plaza de cobro",55d0a3e6-acf4-49ca-af47-f26388ab4a66
31,🚨⚠️🔫 Situación de riesgo en Aut. Manzanillo - Puerto Vallarta,safety,PAST,2026-02-22 15:41,2026-02-23 00:00,19.23681859,-104.5543708,C3ntro,"En puente Cihuatlán, cierre de circulación debido a presunto narcobloqueo con vehículos incendiados.

#NAB",03c2c46d-f413-40aa-bdf0-305a42e37910
32,"Situación de riesgo en la carr. México - Querétaro, Hidalgo",safety,PAST,2026-02-22 20:26,2026-02-23 05:00,19.97770203,-99.34258348,C3ntro,Quema de unidades situación de riesgo por presuntos (narcobloqueos con quema de unidades). #NAB,e828803e-8028-46f2-bd76-a8e5c6cd484f
33,🚨⚠️🔫 Situación de riesgo en MICHOACÁN ,safety,PAST,2026-02-23 00:33,2026-02-23 05:34,19.80741152,-101.782736,C3ntro,"Se reportó un enfrentamiento armado, se mantiene fuerte presencia militar en Zacapu. 

*Ubicación de referencia #NAB ",e81a1337-dea7-4980-b3d6-e7c6f85d58c5
34,🚨⚠️🔫 Situación de riesgo en Zapopan,safety,PAST,2026-02-22 22:00,2026-02-23 00:00,20.74132525,-103.3870511,C3ntro,"Carretera a Saltillo y Bosques de San Isidro, situación de riesgo (narcobloqueo con quema de unidades).

*Ubicación de referencia

#NAB",71b203df-e1ad-4f1a-9b55-bd7c8ee4f3bb
35,🚨⚠️🔫 Situación de riesgo en Zapopan,safety,PAST,2026-02-22 22:00,2026-02-23 00:00,20.6773971,-103.4142282,C3ntro,"Av. Periférico y Av. Vallarta, situación de riesgo (quema de unidades).

*Ubicación de referencia

#NAB",b89f2298-b7b9-4c5b-9534-32ea44107cba
36,🚨⚠️🔫 Situación de riesgo en Zapopan,safety,PAST,2026-02-22 22:00,2026-02-23 00:00,20.7086789,-103.4582428,C3ntro,"Av. Aviación y Ocampo, situación de riesgo (quema de unidades).

*Ubicación de referencia

#NAB",993c9f7d-508b-442b-b23d-9a9f3a9bffee
37,🚧⚠️ 🦺👷Labores de mantenimiento en Carr. Los Arrastres - La Tapona,vial,ACTIVE,2026-01-19 13:00,2026-03-20 01:00,21.33623196,-101.2710614,C3ntro,"Cierres parciales a la circulación en ambos carriles de la carretera Silao–San Felipe, debido a trabajos de conservación carretera en el tramo Los Arrastres–La Tapona.

Del 19 de enero, tramo Los Arrastres–La Tapona, cierres en un horario de 7:00 de la mañana a 6:00 de la tarde y se tiene previsto que concluyan el 19 de marzo
",15000370-7e85-4d3b-91c6-64df9c2af1e9
38,🚨⚠️🔫 Situación de riesgo en Tula - Cd. Victoria,safety,PAST,2026-02-22 20:31,2026-02-23 05:32,22.76446827,-99.94612054,C3ntro,"A la altura del entronque a Nuevo Padilla, situación de riesgo (narcobloqueo con quema de unidades).

*Ubicación de referencia

#NAB
",856083eb-4c4c-462a-af3e-04a2df328035
39,🚨⚠️🔫 Situación de riesgo en Acapulco,safety,PAST,2026-02-22 20:40,2026-02-23 05:41,16.86280355,-99.90751863,C3ntro,"Situación de riesgo por ataque armado a las inmediaciones de Fiscalía General de Acapulco.

#NAB",0b6afb7c-aab3-48d4-b69e-9befca3be01f
40,"🚨⚠️🔫 Situación de riesgo en Col. Zapata, Acapulco",safety,PAST,2026-02-22 20:45,2026-02-23 05:46,16.90022751,-99.83366737,C3ntro,"situación de riesgo debido a ataque armado a comandancia en la Col. Zapata.

",a71c6106-8dca-49b0-a2cc-c71e0f992de0
41,"🚨⚠️🔫 Situación de riesgo en Pie de Cuesta, Acapulco",safety,PAST,2026-02-22 20:49,2026-02-23 05:50,16.86172928,-99.91679436,C3ntro,"Situación de riesgo (narcobloqueo con quema de unidades).

*Ubicación de referencia

#NAB",b528e5da-c475-4ebf-bb79-700ddf89b4d7
42,"🚨⚠️🔫 Situación de riesgo en Vicente Guerrero, Acapulco",safety,PAST,2026-02-22 20:57,2026-02-23 05:58,16.89077872,-99.83571872,C3ntro,"Una unidad del servicio público fue incendiada sobre el bulevar Vicente Guerrero, a la altura de Aurrerá Cruces.

*Ubicación de referencia

#NAB

",2608ad08-f608-4675-be0f-daa7f22a9471
